,name,price,origin,year,date,mileage,energy,gearbox,color,ratedHorsePower,powerDIN,consumption,brand,model
998,80,31180.0,0,2017.0,191,78112,3,1,102,11,190,5.0,4,414
999,57,32580.0,0,2022.0,787,29560,3,0,102,8,150,4.9,4,346
1001,204,32330.0,0,2020.0,770,45654,4,1,50,10,184,6.9,21,273
1006,421,24870.0,0,2019.0,201,125685,3,0,102,8,150,4.4,36,388
1010,275,15800.0,0,2019.0,161,82393,3,1,102,4,75,3.3,28,5
1012,407,34450.0,0,2021.0,760,21600,4,0,102,8,150,5.7,36,209
1014,294,25720.0,0,2018.0,245,129990,3,0,102,10,181,4.4,28,30
1017,103,20700.0,0,2023.0,883,11,4,1,99,4,83,5.4,6,99
1018,135,396150.0,1,2023.0,565,5550,4,0,102,72,720,12.9,10,177
1019,274,26890.0,0,2021.0,213,42407,4,0,49,7,131,6.1,28,4
1020,82,31470.0,0,2015.0,884,150290,3,0,49,11,190,5.1,4,416
1022,282,30870.0,1,2022.0,54,79360,4,0,60,7,130,6.5,28,14
1023,116,39340.0,0,2022.0,199,29895,3,1,94,7,131,5.2,6,213
1024,276,12410.0,0,2020.0,80,41481,4,1,49,4,83,4.7,28,6
